id,name,mrp,sp,category
4.79208E+12,Ieuamq,520,520,
4.79111E+12,fIrus mela,680,670,
4.79217E+12,"isoaodf,am",200,200,
4.79109E+12,r;a;s,1050,1040,
4.79217E+12,fldams,185,185,
4.79603E+12,uelrks,280,275,
4.79219E+12,ikalqhsla,1310,1290,
4.793E+12,jskdlsrs,220,220,
4.79205E+12,usIqus inka,115,113,
4.797E+12,yoqkalQre,140,140,
4.79111E+12,f.dahd lSua,350,350,
4.79208E+12,fnans lSua,370,370,
4.79601E+12,rska,220,220,
4.79601E+12,rska,399,390,
4.796E+12,ly melga,110,110,
4.79204E+12,fidfiacia,160,160,
601,flkaod,2000,1800,
602,"wx.q,q",1800,1600,
604,mrja,1800,1600,
606,"fnda,a,q",1200,980,
607,uvq,1800,1650,
608,"f;mams,s",900,900,
609,firhd,1800,1460,
610,"lqlq,d lrj,",1800,1600,
613,lSruska,1200,1120,
614,"n,",1400,1100,
611,"ldr,a,d",800,700,
618,biaid,2000,1800,
210,r;ak kdvq,230,230,
128,uqx weg,1000,760,
453,"oqxl,",125,120,
4.79111E+12,fIrus,680,670,
4.79101E+12,fvkagd nqIa,130,130,
4.793E+12,yoqkalQre,140,140,
4.79208E+12,"jeia,ska",425,425,
4.79601E+12,rska,99,99,
4.79208E+12,"fjdkav,hsga vn,a",200,200,
4.793E+12,ieuka,600,480,
401,yqkq melga,10,10,
603,"wx.q,q",1800,1600,
4.79109E+12,lsrs f;a,440,440,
4.793E+12,"lsiag,a inka",120,118,
4.79208E+12,Ieuamq melga,290,290,
4.79204E+12,ydmsla,265,265,
420,"Ieuamq fnda;,a",500,500,
421,vekafvlaia,400,400,
425,"ikais,ala",400,400,
428,"la,shra",500,500,
427,lqudrsld,400,400,
419,vja Ieuamq,500,450,
800,",kaISga",90,80,
357,irajshga,280,260,
279,.sksfmgags,2880,1975,
4.79216E+12,gS ghsua,300,300,
4.79111E+12,f.dahd inka,125,120,
4.79101E+12,"negrslE,s",120,120,
487,"luansoe,a",60,60,
4.79208E+12,yEkava fjdIa,550,550,
4.79207E+12,fldfydU inka,140,138,
4.793E+12,yoqkalQre,140,140,
4.79111E+12,f.dahd inka,125,120,
4.79111E+12,oSjd,430,3801,
4.79202E+12,"kQva,aia",420,410,
4.79214E+12,fidaia melga,20,20,
4.79111E+12,inka lqvq,190,185,
4.79111E+12,"laf,da.dva",250,245,
4.79205E+12,"r;au,a",130,125,
4.79111E+12,lqudrsld,300,300,
4.79202E+12,mjqvra,300,300,
4.79602E+12,"laf,dafrlaia",65,65,
4.79208E+12,whqIa,235,235,
4.79202E+12,"fmd,alsrs",90,90,
4.79202E+12,"kQva,aia",420,390,
4.79602E+12,fidaia melga,20,20,
4.79107E+12,meks nSu,270,270,
4.79601E+12,.sksfmgags,240,230,
4.79208E+12,Ieuamq,300,300,
4.79111E+12,weh,150,150,
4.796E+12,"me,j;a; lsrs",1080,1070,
4.79202E+12,fld;a;q uS,130,130,
4.79109E+12,wekalra,550,545,
4.79602E+12,nSu lqvq,395,385,
4.793E+12,"laf,dafrlaia",190,190,
4.79207E+12,fldfydn inka,125,120,
4.79601E+12,inka lqvq,575,575,
4.79111E+12,nqIa,100,88,
4.79107E+12,meks nSu,380,380,
4.79002E+12,"ue,snka lsrs",1050,1040,
4.79202E+12,"kQva,aia",99,99,
4.796E+12,fidahd,60,60,
4.796E+12,jsua,60,60,
4.79208E+12,vja,750,750,
4.79601E+12,iqma leg,600,590,
4.79111E+12,fIrus,145,140,
4.79107E+12,meks nSu,270,270,
4.79223E+12,"fldld flda,d",170,170,
4.79221E+12,"iqmra.a,Q",95,95,
4.79107E+12,whsia,1030,1030,
4.79107E+12,nSu,380,380,
4.79111E+12,mjqvra,330,330,
4.79601E+12,inka lqvq,190,190,
4.79219E+12,"fpdla,ga",120,120,
4.79602E+12,ud.rska,650,640,
4.79215E+12,fofjks n;,270,260,
4.79603E+12,mdka lqvq,200,200,
4.79202E+12,gslsrs,90,90,
4.79202E+12,"kQva,aia",130,130,
4.79202E+12,"kQva,aia",130,130,
4.796E+12,"kQva,aia",315,310,
4.79602E+12,ud.rska,1900,1900,
406,"mkapA lE,s",50,40,
4.79214E+12,lmqre,160,160,
4.797E+12,yoqkalQre,50,50,
369,lEksiaid,2000,1800,
399,"Wuau,lv",3000,2480,
398,"Wuau,lv lE,s",2500,2200,
207,lsrs iuand,300,260,
426,lkavsIkra,800,700,
