id,බ්ප්,mrp,sp,category
4.79E+12,චොක්ලට්,100,100,
4.79E+12,ස්ටික්,40,40,
4.79E+12,ස්ටික්,40,40,
4.79E+12,පෙබල්ස්,420,420,
4.79E+12,පොපිට්,60,60,
4.79E+12,චොකෝ නට්,420,420,
4.79E+12,පොපිට්,350,350,
4.79E+12,චන්කි චොක්,120,120,
470,පත්තර,320,230,
3.09E+12,බික් රේසර් 2,140,105,
3.09E+12,බික් රේසර් 1,120,120,
3.09E+12,බික් රේසර් 3,240,240,
8.90E+12,ජිලට් රේසර්,150,150,
4.79E+12,පොඩි බැටරි,125,125,
397,සෙවන සුරුට්ටු,1000,825,
783,බබර චකු,20,15,
780,නිලාකූරු පෙට්ටි,100,100,
457,අහස් කූරු,2000,1100,
534,රතික්‍්නා කරල්,550,400,
562,අජිනමොටෝ,650,600,
436,ගීන්පීස්,800,600,
432,ගීන්පීස්,600,600,
395,කොස්ස,350,350,
491,හැට්ට කටු,10,10,
4.80E+12,කුකින් ඹයිල්,810,650,
4.80E+12,ගොරකා කීම්,80,80,
4.79E+12,සුප් කැට,90,90,
4.79E+12,ජෑම් බෝතල්,290,290,
4.79E+12,චට්නි,325,325,
4.79E+12,ජෑම් බෝතල්,290,290,
4.79E+12,සුප් කැට,325,325,
4.79E+12,පොල් පැනි,400,400,
4.79E+12,පොල් පැනි,250,250,
4.80E+12,සෝයා සෝස්,230,230,
4.79E+12,ජෑම් කප්,110,110,
4.79E+12,තක්කාලි සෝස්,290,290,
4.80E+12,තක්කාලි සෝස්,290,290,
4.79E+12,ජෙලි,220,220,
4.79E+12,ජෙලි,220,220,
4.79E+12,ජෙලි,220,220,
4.80E+12,නෝ සුප්කැට,100,100,
4.80E+12,මාමයිට්,360,360,
4.80E+12,මාමයිට්,695,695,
4.80E+12,නෝ සුප්,50,50,
4.79E+12,කරි තුනපහ,85,85,
4.79E+12,ඩව් ෂැම්පු,500,500,
4.80E+12,ඇසන්ස්,200,200,
554,පීමා පිටි,220,200,
8.89E+12,මාරි,100,100,
4.79E+12,නෙස්ටමෝල්ට්,780,770,
8.85E+12,සස්ටජන් ,3900,3900,
4.79E+12,ජෙලටින්,500,500,
4.79E+12,ජෙලටින්,350,350,
4.80E+12,බේකින් පවුඩර්,150,150,
4.80E+12,පපඩම් පැකට්,95,90,
4.79E+12,සිග්නල්,200,200,
258,සෝයා,700,650,
4.80E+12,අබා,230,220,
4.79E+12,කොලොන්,360,360,
4.79E+12,සිග්නල්,285,285,
4.79E+12,සිග්නල්,360,360,
4.79E+12,ෂැම්පු,520,520,
4.79E+12,ෂෙරමි පැක්,680,670,
4.79E+12,සිද්දාලේප,200,200,
4.79E+12,රත්ති,1050,1040,
4.79E+12,කෝපි,185,185,
4.80E+12,මැකරනි,280,275,
4.79E+12,සන්කුයික්,1310,1290,
4.79E+12,විනාකිරි,220,220,
4.79E+12,මිෂුමි සබන්,115,113,
4.80E+12,හදුන්කූරු,140,140,
4.79E+12,ගෝයා කීම්,350,350,
4.79E+12,බේබි කීම්,370,370,
4.80E+12,රින්,220,220,
4.80E+12,රින්,399,390,
4.80E+12,කහ පැකට්,110,110,
4.79E+12,සොසේජස්,160,160,
601,කෙන්දා,2000,1800,
602,අංගුලු,1800,1600,
604,පරව්,1800,1600,
606,බෝල්ලු,1200,980,
607,මඩු,1800,1650,
608,තෙප්පිලි,900,900,
609,සෙරයා,1800,1460,
610,කුකුලා කරවල,1800,1600,
613,කීරමින්,1200,1120,
614,බල,1400,1100,
611,කාරල්ලා,800,700,
618,ඉස්සා,2000,1800,
210,රත්න නාඩු,230,230,
128,මුං ඇට,1000,760,
453,දුංකල,125,120,
4.79E+12,ෂෙරමි,680,670,
4.79E+12,ඩෙන්ටා බුෂ්,130,130,
4.79E+12,හදුන්කූරු,140,140,
4.79E+12,වැස්ලින්,425,425,
4.80E+12,රින්,99,99,
4.79E+12,වොන්ඩලයිට් ඩබල්,200,200,
4.79E+12,සැමන්,600,480,
401,හුනු පැකට්,10,10,
603,අංගුලු,1800,1600,
4.79E+12,කිරි තේ,440,440,
4.79E+12,කිස්ටල් සබන්,120,118,
4.79E+12,ෂැම්පු පැකට්,290,290,
4.79E+12,හාපික්,265,265,
420,ෂැම්පු බෝතල්,500,500,
421,ඩැන්ඩෙක්ස්,400,400,
425,සන්සිල්ක්,400,400,
428,ක්ලියර්,500,500,
427,කුමාරිකා,400,400,
419,ඩව් ෂැම්පු,500,450,
800,ලන්ෂීට්,90,80,
357,සර්වියට්,280,260,
279,ගිනිපෙට්ටි,2880,1975,
4.79E+12,ටී ටයිම්,300,300,
4.79E+12,ගෝයා සබන්,125,120,
4.79E+12,බැටරිකෑලි,120,120,
487,කම්බිදැල්,60,60,
4.79E+12,හෑන්ඩ් වොෂ්,550,550,
4.79E+12,කොහොඹ සබන්,140,138,
4.79E+12,හදුන්කූරු,140,140,
4.79E+12,ගෝයා සබන්,125,120,
4.79E+12,දීවා,430,3801,
4.79E+12,නූඩ්ල්ස්,420,410,
4.79E+12,සෝස් පැකට්,20,20,
4.79E+12,සබන් කුඩු,190,185,
4.79E+12,ක්ලෝගාඩ්,250,245,
4.79E+12,රත්මල්,130,125,
4.79E+12,කුමාරිකා,300,300,
